Job Title,Company,Location,Source,Job Link,
Senior Software Engineer (Hybrid/ In-office),Black Book,"Lawrenceville, GA",LinkedIn,https://www.linkedin.com/jobs/view/senior-software-engineer-hybrid-in-office-at-black-book-4133514752?position=56&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=k5yAyP5DkqLmHzfikb1F4w%3D%3D,
Data Analyst,S&P Global,"Monterey, CA",LinkedIn,https://www.linkedin.com/jobs/view/data-analyst-at-s-p-global-4178560022?position=57&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=%2FzLottwRm4C4sQVSczvVww%3D%3D,
AI & SEO Content Optimization Intern,HP,"Spring, TX",LinkedIn,https://www.linkedin.com/jobs/view/ai-seo-content-optimization-intern-at-hp-4181739746?position=58&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=cgq2S9RqVgRsO8j4TQgTrA%3D%3D,
Software Engineer,Corgi (YC S24),"San Francisco, CA",LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-at-corgi-yc-s24-4161664259?position=59&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=AvGot1ug04Mx28dqfW71eg%3D%3D,
Senior Pricing Data Scientist,"AmTrust Financial Services, Inc.",United States,LinkedIn,https://www.linkedin.com/jobs/view/senior-pricing-data-scientist-at-amtrust-financial-services-inc-4081324336?position=60&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=Hr61F%2FC9CE%2F1XYAMq7Ee3Q%3D%3D,
Senior Data Engineer - Data Sourcing,Revelio Labs,"New York, NY",LinkedIn,https://www.linkedin.com/jobs/view/senior-data-engineer-data-sourcing-at-revelio-labs-4150327615?position=1&pageNum=2&refId=Jo%2Fu4ZxPZJv1uqyLlu9%2BVA%3D%3D&trackingId=fw%2BisV1ESqSRj055OSsfhw%3D%3D,
Software Engineer - Pretraining Data,Magic,United States,LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-pretraining-data-at-magic-4064941058?position=2&pageNum=2&refId=Jo%2Fu4ZxPZJv1uqyLlu9%2BVA%3D%3D&trackingId=X5K0uKCk0pmGJbGfETMMEQ%3D%3D,
NASI - Quality Data Analyst,Subaru of America,"Merchantville, NJ",LinkedIn,https://www.linkedin.com/jobs/view/nasi-quality-data-analyst-at-subaru-of-america-4167030077?position=3&pageNum=2&refId=Jo%2Fu4ZxPZJv1uqyLlu9%2BVA%3D%3D&trackingId=3zXQSlyVgm4kqz3i2pjBWA%3D%3D,
NASI - Quality Data Analyst,TieTalent,"New Jersey, United States",LinkedIn,https://www.linkedin.com/jobs/view/nasi-quality-data-analyst-at-tietalent-4187456375?position=4&pageNum=2&refId=Jo%2Fu4ZxPZJv1uqyLlu9%2BVA%3D%3D&trackingId=0WV9URM%2FlX1eCFkTZYXq0A%3D%3D,
Data Scientist,Redhorse Corporation,"Virginia, United States",LinkedIn,https://www.linkedin.com/jobs/view/data-scientist-at-redhorse-corporation-4167994193?position=5&pageNum=2&refId=Jo%2Fu4ZxPZJv1uqyLlu9%2BVA%3D%3D&trackingId=VDmchDiGE50EjnOsHGJ6YA%3D%3D,
Data Science Intern - Data Parsing & Quality,HCM TradeSeal,"Michigan, United States",LinkedIn,https://www.linkedin.com/jobs/view/data-science-intern-data-parsing-quality-at-hcm-tradeseal-4187477669?position=6&pageNum=2&refId=Jo%2Fu4ZxPZJv1uqyLlu9%2BVA%3D%3D&trackingId=lLMpuCrA1ibTOby2mWRwkQ%3D%3D,
Mid-level Data Engineer,Maverc Technologies,"Alexandria, VA",LinkedIn,https://www.linkedin.com/jobs/view/mid-level-data-engineer-at-maverc-technologies-4169629426?position=7&pageNum=2&refId=Jo%2Fu4ZxPZJv1uqyLlu9%2BVA%3D%3D&trackingId=gdiz6ep5BjnNckkuOfa3KA%3D%3D,
Data Analyst 1, SRS,Massachusetts Institute of Technology,"Cambridge, MA",LinkedIn,https://www.linkedin.com/jobs/view/data-analyst-1-srs-at-massachusetts-institute-of-technology-4180563966?position=8&pageNum=2&refId=Jo%2Fu4ZxPZJv1uqyLlu9%2BVA%3D%3D&trackingId=JumGKhf6K9ZEFAEux6f3fQ%3D%3D
Lead Generation & Targeting Specialist,Alliance Franchise Brands,"Plymouth, MI",LinkedIn,https://www.linkedin.com/jobs/view/lead-generation-targeting-specialist-at-alliance-franchise-brands-4167233981?position=9&pageNum=2&refId=Jo%2Fu4ZxPZJv1uqyLlu9%2BVA%3D%3D&trackingId=UdPq6wMJWxPJkfjf46W%2BUg%3D%3D,
Data Analyst,Almo Corporation,"Philadelphia, PA",LinkedIn,https://www.linkedin.com/jobs/view/data-analyst-at-almo-corporation-4114623115?position=10&pageNum=2&refId=Jo%2Fu4ZxPZJv1uqyLlu9%2BVA%3D%3D&trackingId=hdRR7DbaHnEC7r6NoJFOgQ%3D%3D,
Junior Software Developer - Open Source Focus,Neural Solutions,"Baltimore, MD",LinkedIn,https://www.linkedin.com/jobs/view/junior-software-developer-open-source-focus-at-neural-solutions-4112269215?position=1&pageNum=5&refId=YqtF1ZViL17QRVuOxtpG%2FA%3D%3D&trackingId=tLinIR3CbPvN6TExFwDGWw%3D%3D,
Sr. Data Engineer,Revic AI,"San Francisco, CA",LinkedIn,https://www.linkedin.com/jobs/view/sr-data-engineer-at-revic-ai-4187285682?position=2&pageNum=5&refId=YqtF1ZViL17QRVuOxtpG%2FA%3D%3D&trackingId=CfEoLJhWAPaAiyhBkG9E8g%3D%3D,
Developer, Graphics (Remote),The Athletic,United States,LinkedIn,https://www.linkedin.com/jobs/view/developer-graphics-remote-at-the-athletic-4120213904?position=3&pageNum=5&refId=YqtF1ZViL17QRVuOxtpG%2FA%3D%3D&trackingId=mLqaCc0mq7brHFyniqAFpg%3D%3D
Staff Data Engineer,brightwheel,United States,LinkedIn,https://www.linkedin.com/jobs/view/staff-data-engineer-at-brightwheel-4153488636?position=4&pageNum=5&refId=YqtF1ZViL17QRVuOxtpG%2FA%3D%3D&trackingId=rKnPNC5XUM%2FMCyqgp5GKfw%3D%3D,
Experienced Associate - Equity Research, IT Services,Guggenheim Securities,"New York, NY",LinkedIn,https://www.linkedin.com/jobs/view/experienced-associate-equity-research-it-services-at-guggenheim-securities-4184968157?position=5&pageNum=5&refId=YqtF1ZViL17QRVuOxtpG%2FA%3D%3D&trackingId=hrIkTjLjaTImz3hj92lI%2FQ%3D%3D
Senior Software Engineer (Hybrid/ In-office),Black Book,"Lawrenceville, GA",LinkedIn,https://www.linkedin.com/jobs/view/senior-software-engineer-hybrid-in-office-at-black-book-4133514752?position=6&pageNum=5&refId=YqtF1ZViL17QRVuOxtpG%2FA%3D%3D&trackingId=V8Z4waDOL9S4pVxFNWj23g%3D%3D,
Data Analyst,S&P Global,"Monterey, CA",LinkedIn,https://www.linkedin.com/jobs/view/data-analyst-at-s-p-global-4178560022?position=7&pageNum=5&refId=YqtF1ZViL17QRVuOxtpG%2FA%3D%3D&trackingId=blKxzxguPp1GixL52d71Lw%3D%3D,
AI & SEO Content Optimization Intern,HP,"Spring, TX",LinkedIn,https://www.linkedin.com/jobs/view/ai-seo-content-optimization-intern-at-hp-4181739746?position=8&pageNum=5&refId=YqtF1ZViL17QRVuOxtpG%2FA%3D%3D&trackingId=B5qWjLuCywdU%2Fn38BY%2BiVw%3D%3D,
Software Engineer,Corgi (YC S24),"San Francisco, CA",LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-at-corgi-yc-s24-4161664259?position=9&pageNum=5&refId=YqtF1ZViL17QRVuOxtpG%2FA%3D%3D&trackingId=3EItDNm7Kx%2F1%2FRtXkLkbtw%3D%3D,
Senior Pricing Data Scientist,"AmTrust Financial Services, Inc.",United States,LinkedIn,https://www.linkedin.com/jobs/view/senior-pricing-data-scientist-at-amtrust-financial-services-inc-4081324336?position=10&pageNum=5&refId=YqtF1ZViL17QRVuOxtpG%2FA%3D%3D&trackingId=26wiVTLdq3oZi2d%2B%2BAnFCA%3D%3D,
Sr. Software Engineer - Attack Analyzer,Splunk,"Georgia, United States",LinkedIn,https://www.linkedin.com/jobs/view/sr-software-engineer-attack-analyzer-at-splunk-4095351506?position=1&pageNum=7&refId=6G63BalkCWdt0OnOsX8A3Q%3D%3D&trackingId=gW8TdlAfVI6AsiP0eOqNyA%3D%3D,
Sr. Software Engineer - Attack Analyzer,Splunk,"Oregon, United States",LinkedIn,https://www.linkedin.com/jobs/view/sr-software-engineer-attack-analyzer-at-splunk-4095348707?position=2&pageNum=7&refId=6G63BalkCWdt0OnOsX8A3Q%3D%3D&trackingId=I1Cq1pynFbKHDKYH1psKcQ%3D%3D,
Sr. Python Developer (remote),Claritev,"New York, NY",LinkedIn,https://www.linkedin.com/jobs/view/sr-python-developer-remote-at-claritev-4184684285?position=3&pageNum=7&refId=6G63BalkCWdt0OnOsX8A3Q%3D%3D&trackingId=RgN0v61Hzz8XDg01JHaVCw%3D%3D,
Sr. Software Engineer - Attack Analyzer,Splunk,"Ohio, United States",LinkedIn,https://www.linkedin.com/jobs/view/sr-software-engineer-attack-analyzer-at-splunk-4095350582?position=4&pageNum=7&refId=6G63BalkCWdt0OnOsX8A3Q%3D%3D&trackingId=iLfnVCDi1ThUbUBRu1MKqg%3D%3D,
Sr. Software Engineer - Attack Analyzer,Splunk,"North Carolina, United States",LinkedIn,https://www.linkedin.com/jobs/view/sr-software-engineer-attack-analyzer-at-splunk-4095353318?position=5&pageNum=7&refId=6G63BalkCWdt0OnOsX8A3Q%3D%3D&trackingId=GU6IBUQ%2BKwQcvE1WuCZu2Q%3D%3D,
Senior Data Collection Engineer,Strider Technologies,"Tysons Corner, VA",LinkedIn,https://www.linkedin.com/jobs/view/senior-data-collection-engineer-at-strider-technologies-4067448921?position=6&pageNum=7&refId=6G63BalkCWdt0OnOsX8A3Q%3D%3D&trackingId=GbcUNYH9KPcazJp1AXdTAg%3D%3D,
Sr. Software Engineer - Attack Analyzer,Splunk,"Illinois, United States",LinkedIn,https://www.linkedin.com/jobs/view/sr-software-engineer-attack-analyzer-at-splunk-4095352323?position=7&pageNum=7&refId=6G63BalkCWdt0OnOsX8A3Q%3D%3D&trackingId=uiTcVtpDQvh%2FFH3IugY9xA%3D%3D,
Mid-Level Data Engineer,Redhorse Corporation,"Virginia, United States",LinkedIn,https://www.linkedin.com/jobs/view/mid-level-data-engineer-at-redhorse-corporation-4180085743?position=8&pageNum=7&refId=6G63BalkCWdt0OnOsX8A3Q%3D%3D&trackingId=34shCFLB1qp4VbOjdKo9zA%3D%3D,
Statistical Analyst II,Blue Star Partners,"Columbus, OH",LinkedIn,https://www.linkedin.com/jobs/view/statistical-analyst-ii-at-blue-star-partners-4158914827?position=9&pageNum=7&refId=6G63BalkCWdt0OnOsX8A3Q%3D%3D&trackingId=Qie%2FDrEWP%2F9cj8v8eHJLwA%3D%3D,
Founding Software Engineer,daydream,"San Francisco, CA",LinkedIn,https://www.linkedin.com/jobs/view/founding-software-engineer-at-daydream-4166872578?position=10&pageNum=7&refId=6G63BalkCWdt0OnOsX8A3Q%3D%3D&trackingId=4yBWhrs%2BS3E9whXTSCNe3A%3D%3D,
Sr. Software Engineer - Attack Analyzer,Splunk,"South Carolina, United States",LinkedIn,https://www.linkedin.com/jobs/view/sr-software-engineer-attack-analyzer-at-splunk-4095352321?position=1&pageNum=10&refId=whcQiRPCR8JyOs6LqmVVIg%3D%3D&trackingId=bsB5OogyEzBjrBpTM1quBw%3D%3D,
Senior Data Engineer,Chubb,"Whitehouse Station, NJ",LinkedIn,https://www.linkedin.com/jobs/view/senior-data-engineer-at-chubb-4132957255?position=2&pageNum=10&refId=whcQiRPCR8JyOs6LqmVVIg%3D%3D&trackingId=%2B7NpYcqQTEXbhEJeDO0huw%3D%3D,
Sr. RevOps Consultant (Clay expert),Go Nimbly,"Boston, MA",LinkedIn,https://www.linkedin.com/jobs/view/sr-revops-consultant-clay-expert-at-go-nimbly-4184289710?position=3&pageNum=10&refId=whcQiRPCR8JyOs6LqmVVIg%3D%3D&trackingId=EDS4Xn2YRL96yEQKFve1aQ%3D%3D,
Director Customer Success,Nimble,"New York, United States",LinkedIn,https://www.linkedin.com/jobs/view/director-customer-success-at-nimble-4183773282?position=4&pageNum=10&refId=whcQiRPCR8JyOs6LqmVVIg%3D%3D&trackingId=yBVd1p%2BKDn50kwS5MMgO%2Fg%3D%3D,
Founding Engineer (Frontend),Sola,"Jersey City, NJ",LinkedIn,https://www.linkedin.com/jobs/view/founding-engineer-frontend-at-sola-3795745978?position=5&pageNum=10&refId=whcQiRPCR8JyOs6LqmVVIg%3D%3D&trackingId=889SrR%2BJy%2F%2F9kbkWAehvEg%3D%3D,
Sr. RevOps Consultant (Clay expert),Go Nimbly,"San Francisco, CA",LinkedIn,https://www.linkedin.com/jobs/view/sr-revops-consultant-clay-expert-at-go-nimbly-4184292385?position=6&pageNum=10&refId=whcQiRPCR8JyOs6LqmVVIg%3D%3D&trackingId=WH7jpODzr0i22mEtVIFGPQ%3D%3D,
Sr. RevOps Consultant (Clay expert),Go Nimbly,"San Francisco, CA",LinkedIn,https://www.linkedin.com/jobs/view/sr-revops-consultant-clay-expert-at-go-nimbly-4184290667?position=7&pageNum=10&refId=whcQiRPCR8JyOs6LqmVVIg%3D%3D&trackingId=i2rSzo%2FKsMKSbt%2FRB3QttQ%3D%3D,
Contract Software Engineer â€“ AI-Powered Automation for Healthcare Operations,ANNA (Allied Network for Neurodevelopmental Advancement),United States,LinkedIn,https://www.linkedin.com/jobs/view/contract-software-engineer-%E2%80%93-ai-powered-automation-for-healthcare-operations-at-anna-allied-network-for-neurodevelopmental-advancement-4174183770?position=8&pageNum=10&refId=whcQiRPCR8JyOs6LqmVVIg%3D%3D&trackingId=Ta3sHHVnb2N1bYb36YXdPQ%3D%3D,
Research Data Scientist,"University of California, Riverside","Riverside County, CA",LinkedIn,https://www.linkedin.com/jobs/view/research-data-scientist-at-university-of-california-riverside-4045967601?position=9&pageNum=10&refId=whcQiRPCR8JyOs6LqmVVIg%3D%3D&trackingId=onY%2FCy1Rnocu8%2FqaVnAKzw%3D%3D,
Lead, Software Engineer,InMoment,United States,LinkedIn,https://www.linkedin.com/jobs/view/lead-software-engineer-at-inmoment-4139694812?position=10&pageNum=10&refId=whcQiRPCR8JyOs6LqmVVIg%3D%3D&trackingId=TmYrK0ha8J4qP%2BJhUDpVnQ%3D%3D
Senior RPA Software Engineer,Citizens Property Insurance Corporation,"Jacksonville, FL",LinkedIn,https://www.linkedin.com/jobs/view/senior-rpa-software-engineer-at-citizens-property-insurance-corporation-4114557603?position=1&pageNum=12&refId=3NOSD45vc8%2Fuv6zS%2B%2FDeRA%3D%3D&trackingId=0n2QBLpGjGDOwAElyPbXng%3D%3D,
Pricing Manager,The Timken Company,"North Canton, OH",LinkedIn,https://www.linkedin.com/jobs/view/pricing-manager-at-the-timken-company-4036891817?position=2&pageNum=12&refId=3NOSD45vc8%2Fuv6zS%2B%2FDeRA%3D%3D&trackingId=nhC8jO44GD%2FnVgG8WEfqYA%3D%3D,
Customer Success Engineer,SerpApi,United States,LinkedIn,https://www.linkedin.com/jobs/view/customer-success-engineer-at-serpapi-4093893370?position=3&pageNum=12&refId=3NOSD45vc8%2Fuv6zS%2B%2FDeRA%3D%3D&trackingId=Ev%2Fcgd43zep08u90ZhZJJg%3D%3D,
Principal Backend Engineer â€“ Early-Stage AI Startup,Stealth Startup,"New York, NY",LinkedIn,https://www.linkedin.com/jobs/view/principal-backend-engineer-%E2%80%93-early-stage-ai-startup-at-stealth-startup-4182699055?position=4&pageNum=12&refId=3NOSD45vc8%2Fuv6zS%2B%2FDeRA%3D%3D&trackingId=e5pvZ2H1i2jB%2FKdxQCY0iQ%3D%3D,
Senior Data Engineer,Empower Pharmacy,United States,LinkedIn,https://www.linkedin.com/jobs/view/senior-data-engineer-at-empower-pharmacy-4172561829?position=5&pageNum=12&refId=3NOSD45vc8%2Fuv6zS%2B%2FDeRA%3D%3D&trackingId=%2BCSQ7RyIBAHZaovG9WqEeg%3D%3D,
Data Scientist Incident Response,SAIC,"Halawa Heights, HI",LinkedIn,https://www.linkedin.com/jobs/view/data-scientist-incident-response-at-saic-4170215528?position=6&pageNum=12&refId=3NOSD45vc8%2Fuv6zS%2B%2FDeRA%3D%3D&trackingId=J0nsM7mK7XoZ2ebMsCgjqA%3D%3D,
AWS Python Developer,Accenture Federal Services,"Chantilly, VA",LinkedIn,https://www.linkedin.com/jobs/view/aws-python-developer-at-accenture-federal-services-4012930572?position=7&pageNum=12&refId=3NOSD45vc8%2Fuv6zS%2B%2FDeRA%3D%3D&trackingId=cmyoM2prROjaKNxwMxSOqw%3D%3D,
CYBER ALL SOURCE THREAT ANALYST,Quantum Research International,"Alabama, United States",LinkedIn,https://www.linkedin.com/jobs/view/cyber-all-source-threat-analyst-at-quantum-research-international-4183023269?position=8&pageNum=12&refId=3NOSD45vc8%2Fuv6zS%2B%2FDeRA%3D%3D&trackingId=KguhSZvuNrhrEWI6A%2BDwZw%3D%3D,
Competitive Intelligence Analyst,Versaterm,"Mesa, AZ",LinkedIn,https://www.linkedin.com/jobs/view/competitive-intelligence-analyst-at-versaterm-4125125471?position=9&pageNum=12&refId=3NOSD45vc8%2Fuv6zS%2B%2FDeRA%3D%3D&trackingId=MFQoFnXnFLcdePg5qMNsLw%3D%3D,
Tech lead / Senior Backend Engineer,BlueCargo,"New York, NY",LinkedIn,https://www.linkedin.com/jobs/view/tech-lead-senior-backend-engineer-at-bluecargo-3955408013?position=10&pageNum=12&refId=3NOSD45vc8%2Fuv6zS%2B%2FDeRA%3D%3D&trackingId=ZznKivJBq%2BUzVvMSVuwFGQ%3D%3D,
