Job Title,Company,Location,Source,Job Link
Junior Software Developer - Open Source Focus,Neural Solutions,"Baltimore, MD",LinkedIn,https://www.linkedin.com/jobs/view/junior-software-developer-open-source-focus-at-neural-solutions-4112269215?position=44&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=iuf7hPTbh1tU8YH7E7UTnA%3D%3D
Data Entry Specialist,Aston Carter,"Downers Grove, IL",LinkedIn,https://www.linkedin.com/jobs/view/data-entry-specialist-at-aston-carter-4191528696?position=45&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=Nxjns7LAQNGYCTedGPSJPw%3D%3D
Sr. Data Engineer,Revic AI,"San Francisco, CA",LinkedIn,https://www.linkedin.com/jobs/view/sr-data-engineer-at-revic-ai-4187285682?position=46&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=8F96ckixpEQ4p8YDRXGPHA%3D%3D
"Developer, Graphics (Remote)",The Athletic,United States,LinkedIn,https://www.linkedin.com/jobs/view/developer-graphics-remote-at-the-athletic-4120213904?position=47&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=aIOpMwqd3pkeU9c%2Bg9urbw%3D%3D
Staff Data Engineer,brightwheel,United States,LinkedIn,https://www.linkedin.com/jobs/view/staff-data-engineer-at-brightwheel-4153488636?position=48&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=dpKB1%2F3v6%2F2hCHvJKU918A%3D%3D
Python Developer,Yochana,"Redmond, WA",LinkedIn,https://www.linkedin.com/jobs/view/python-developer-at-yochana-4190974650?position=49&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=c6x2jj3xAH4O1fJPBHLcfQ%3D%3D
Data Scientist,Harnham,"Washington, DC",LinkedIn,https://www.linkedin.com/jobs/view/data-scientist-at-harnham-4190408529?position=50&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=rD7jm89PIpvP1gWZsjeH%2Bg%3D%3D
Software Engineer,Corgi (YC S24),"San Francisco, CA",LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-at-corgi-yc-s24-4161664259?position=51&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=7KFyWnPhN%2BWR0roRlliv4Q%3D%3D
AI & SEO Content Optimization Intern,HP,"Spring, TX",LinkedIn,https://www.linkedin.com/jobs/view/ai-seo-content-optimization-intern-at-hp-4181739746?position=52&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=eC8gVTwRi5oqhzh6mM%2Ft8A%3D%3D
Data Engineer,"AppLab Systems, Inc","Phoenix, AZ",LinkedIn,https://www.linkedin.com/jobs/view/data-engineer-at-applab-systems-inc-3938221357?position=53&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=5sMqSAiswxtiknSTyHS7nQ%3D%3D
Data Analyst,S&P Global,"Monterey, CA",LinkedIn,https://www.linkedin.com/jobs/view/data-analyst-at-s-p-global-4178560022?position=54&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=ecnyymCKDq2T0XHRTWmYHQ%3D%3D
"Technical Operations Manager, Central Operations",Athelas,"Mountain View, CA",LinkedIn,https://www.linkedin.com/jobs/view/technical-operations-manager-central-operations-at-athelas-3860729302?position=55&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=7y5zrcmyVYvz7oTgAXvhQw%3D%3D
Pricing Automation Engineer,Wrist Aficionado,"New York, NY",LinkedIn,https://www.linkedin.com/jobs/view/pricing-automation-engineer-at-wrist-aficionado-4188224409?position=56&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=zB5sZ26QdpADw8veVYtIIg%3D%3D
Senior Data Engineer,Gloo,San Francisco Bay Area,LinkedIn,https://www.linkedin.com/jobs/view/senior-data-engineer-at-gloo-4182772389?position=57&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=ekFQKbN12HOR0nwny%2BXF%2Fg%3D%3D
Big Data Engineer BDE21-1,"DataSync Technologies, Inc.","McLean, VA",LinkedIn,https://www.linkedin.com/jobs/view/big-data-engineer-bde21-1-at-datasync-technologies-inc-4091809077?position=58&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=CjPHdvq81BQ%2BqiQUNLsZ%2BQ%3D%3D
Software Engineering Lead - Data Collection,ApartmentIQ,United States,LinkedIn,https://www.linkedin.com/jobs/view/software-engineering-lead-data-collection-at-apartmentiq-4183979350?position=59&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=G%2BS6ZgbveVI6xDJ8tQUOmg%3D%3D
"EverPro - Sr. Manager SEO (Remote, US)",EverCommerce,"Denver, CO",LinkedIn,https://www.linkedin.com/jobs/view/everpro-sr-manager-seo-remote-us-at-evercommerce-4181015891?position=60&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=R0r1%2FLGNZOqXZbo3ikHUsQ%3D%3D
Software Engineer - Pretraining Data,Magic,United States,LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-pretraining-data-at-magic-4064941058?position=1&pageNum=2&refId=EC9UdxSNdf6zpGaISxGLhA%3D%3D&trackingId=zXx3YGbFZ7Sjh1gjqFYqRA%3D%3D
Mid-level Data Engineer,Maverc Technologies,"Alexandria, VA",LinkedIn,https://www.linkedin.com/jobs/view/mid-level-data-engineer-at-maverc-technologies-4169629426?position=2&pageNum=2&refId=EC9UdxSNdf6zpGaISxGLhA%3D%3D&trackingId=VA6VwUIKttf9RTKRBajNjw%3D%3D
"Data Analyst 1, SRS",Massachusetts Institute of Technology,"Cambridge, MA",LinkedIn,https://www.linkedin.com/jobs/view/data-analyst-1-srs-at-massachusetts-institute-of-technology-4180563966?position=3&pageNum=2&refId=EC9UdxSNdf6zpGaISxGLhA%3D%3D&trackingId=B4gEIJBve%2B%2FkYfRVtktjVA%3D%3D
"Software Engineer, Data Platform",Middesk,"New York, United States",LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-data-platform-at-middesk-4080648273?position=4&pageNum=2&refId=EC9UdxSNdf6zpGaISxGLhA%3D%3D&trackingId=6N81%2B0I23VtNwBe2mAV%2FvQ%3D%3D
Lead Generation & Targeting Specialist,Alliance Franchise Brands,"Plymouth, MI",LinkedIn,https://www.linkedin.com/jobs/view/lead-generation-targeting-specialist-at-alliance-franchise-brands-4167233981?position=5&pageNum=2&refId=EC9UdxSNdf6zpGaISxGLhA%3D%3D&trackingId=SNQ%2F63jvCXOQidSCz%2Bx3vw%3D%3D
Consumer and Product Insights Lead,Quince,"San Francisco, CA",LinkedIn,https://www.linkedin.com/jobs/view/consumer-and-product-insights-lead-at-quince-4046265048?position=6&pageNum=2&refId=EC9UdxSNdf6zpGaISxGLhA%3D%3D&trackingId=TDXV%2FEgLOizCN%2BFGl9eZzg%3D%3D
Data Analyst,Almo Corporation,"Philadelphia, PA",LinkedIn,https://www.linkedin.com/jobs/view/data-analyst-at-almo-corporation-4191629549?position=7&pageNum=2&refId=EC9UdxSNdf6zpGaISxGLhA%3D%3D&trackingId=8vUAZU1y6UumRqGxRaBp1w%3D%3D
Software Engineer,Acceler8 Talent,San Francisco Bay Area,LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-at-acceler8-talent-3969252794?position=8&pageNum=2&refId=EC9UdxSNdf6zpGaISxGLhA%3D%3D&trackingId=Qja3E3em4MsLEGMprmc7ow%3D%3D
Mid-Level Data Engineer,Redhorse Corporation,"Falls Church, VA",LinkedIn,https://www.linkedin.com/jobs/view/mid-level-data-engineer-at-redhorse-corporation-4120251255?position=9&pageNum=2&refId=EC9UdxSNdf6zpGaISxGLhA%3D%3D&trackingId=LDfFYQWrMvyAg8GtxEdDdQ%3D%3D
Senior Machine Learning Engineer,ADLIB Recruitment | B Corp™,"New York, United States",LinkedIn,https://www.linkedin.com/jobs/view/senior-machine-learning-engineer-at-adlib-recruitment-b-corp%E2%84%A2-4191443332?position=10&pageNum=2&refId=EC9UdxSNdf6zpGaISxGLhA%3D%3D&trackingId=wRzB3FFIh1LFz6dFIPHQlw%3D%3D
Software Engineer,Corgi (YC S24),"San Francisco, CA",LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-at-corgi-yc-s24-4161664259?position=1&pageNum=5&refId=oxFXrU3QclM2WPv7mGHdeA%3D%3D&trackingId=bzVBOhYhCSYjCkYVOPUXdA%3D%3D
AI & SEO Content Optimization Intern,HP,"Spring, TX",LinkedIn,https://www.linkedin.com/jobs/view/ai-seo-content-optimization-intern-at-hp-4181739746?position=2&pageNum=5&refId=oxFXrU3QclM2WPv7mGHdeA%3D%3D&trackingId=j9jsBv6OmYCCRHAFZelSvg%3D%3D
Data Engineer,"AppLab Systems, Inc","Phoenix, AZ",LinkedIn,https://www.linkedin.com/jobs/view/data-engineer-at-applab-systems-inc-3938221357?position=3&pageNum=5&refId=oxFXrU3QclM2WPv7mGHdeA%3D%3D&trackingId=U3jvi8SctFVCwV%2FxanR6iw%3D%3D
Data Analyst,S&P Global,"Monterey, CA",LinkedIn,https://www.linkedin.com/jobs/view/data-analyst-at-s-p-global-4178560022?position=4&pageNum=5&refId=oxFXrU3QclM2WPv7mGHdeA%3D%3D&trackingId=Ct6NvgL5RW0K8TK9h5DIPw%3D%3D
"Technical Operations Manager, Central Operations",Athelas,"Mountain View, CA",LinkedIn,https://www.linkedin.com/jobs/view/technical-operations-manager-central-operations-at-athelas-3860729302?position=5&pageNum=5&refId=oxFXrU3QclM2WPv7mGHdeA%3D%3D&trackingId=RoR6gAvhgZnYg10S0MKu3A%3D%3D
Pricing Automation Engineer,Wrist Aficionado,"New York, NY",LinkedIn,https://www.linkedin.com/jobs/view/pricing-automation-engineer-at-wrist-aficionado-4188224409?position=6&pageNum=5&refId=oxFXrU3QclM2WPv7mGHdeA%3D%3D&trackingId=%2FoR8KIQ0Smlr5aJld0dWQA%3D%3D
Senior Data Engineer,Gloo,San Francisco Bay Area,LinkedIn,https://www.linkedin.com/jobs/view/senior-data-engineer-at-gloo-4182772389?position=7&pageNum=5&refId=oxFXrU3QclM2WPv7mGHdeA%3D%3D&trackingId=FiRXPCrRnlLudUqsC0ndKQ%3D%3D
Big Data Engineer BDE21-1,"DataSync Technologies, Inc.","McLean, VA",LinkedIn,https://www.linkedin.com/jobs/view/big-data-engineer-bde21-1-at-datasync-technologies-inc-4091809077?position=8&pageNum=5&refId=oxFXrU3QclM2WPv7mGHdeA%3D%3D&trackingId=fLnyxkeDKR0eJGogLXT%2FCg%3D%3D
Software Engineering Lead - Data Collection,ApartmentIQ,United States,LinkedIn,https://www.linkedin.com/jobs/view/software-engineering-lead-data-collection-at-apartmentiq-4183979350?position=9&pageNum=5&refId=oxFXrU3QclM2WPv7mGHdeA%3D%3D&trackingId=dZ%2Bfi9dxDFuiCKLt6JV8tA%3D%3D
"EverPro - Sr. Manager SEO (Remote, US)",EverCommerce,"Denver, CO",LinkedIn,https://www.linkedin.com/jobs/view/everpro-sr-manager-seo-remote-us-at-evercommerce-4181015891?position=10&pageNum=5&refId=oxFXrU3QclM2WPv7mGHdeA%3D%3D&trackingId=oT2ggR1lU%2FqzgudXZrIw%2BQ%3D%3D
Sr. Software Engineer - Attack Analyzer,Splunk,"Ohio, United States",LinkedIn,https://www.linkedin.com/jobs/view/sr-software-engineer-attack-analyzer-at-splunk-4095350582?position=1&pageNum=7&refId=ZlANkYElbW7crc1TCoTjmQ%3D%3D&trackingId=druyr2wyn9EBmI%2BV8Jw0oQ%3D%3D
Sr. Data Engineer (5731),MetroStar,"Washington, DC",LinkedIn,https://www.linkedin.com/jobs/view/sr-data-engineer-5731-at-metrostar-4148900819?position=2&pageNum=7&refId=ZlANkYElbW7crc1TCoTjmQ%3D%3D&trackingId=Cu7x%2FuKsJDBxlYyyJ0lv%2BA%3D%3D
Sr. Software Engineer - Attack Analyzer,Splunk,"Illinois, United States",LinkedIn,https://www.linkedin.com/jobs/view/sr-software-engineer-attack-analyzer-at-splunk-4095352323?position=3&pageNum=7&refId=ZlANkYElbW7crc1TCoTjmQ%3D%3D&trackingId=AzdK8USaaH5ZBMDiwbTbMQ%3D%3D
Sr. Software Engineer - Attack Analyzer,Splunk,"North Carolina, United States",LinkedIn,https://www.linkedin.com/jobs/view/sr-software-engineer-attack-analyzer-at-splunk-4095353318?position=4&pageNum=7&refId=ZlANkYElbW7crc1TCoTjmQ%3D%3D&trackingId=XDJ9X%2FO3hBl7x0Eq84iqRA%3D%3D
Founding Software Engineer,daydream,"San Francisco, CA",LinkedIn,https://www.linkedin.com/jobs/view/founding-software-engineer-at-daydream-4166872578?position=5&pageNum=7&refId=ZlANkYElbW7crc1TCoTjmQ%3D%3D&trackingId=BVrqZaJCvyOfUvfT2lw0fg%3D%3D
Sr. Software Engineer - Attack Analyzer,Splunk,"Colorado, United States",LinkedIn,https://www.linkedin.com/jobs/view/sr-software-engineer-attack-analyzer-at-splunk-4095351466?position=6&pageNum=7&refId=ZlANkYElbW7crc1TCoTjmQ%3D%3D&trackingId=cet01u2cENT1n1ElTTwN1g%3D%3D
Sr. RevOps Consultant (Clay expert),Go Nimbly,"New York, NY",LinkedIn,https://www.linkedin.com/jobs/view/sr-revops-consultant-clay-expert-at-go-nimbly-4184292384?position=7&pageNum=7&refId=ZlANkYElbW7crc1TCoTjmQ%3D%3D&trackingId=%2FCndoRNNNcAAg46TyUyHdA%3D%3D
"Applications Developer, Partnership Strategies",Bain Capital,"Boston, MA",LinkedIn,https://www.linkedin.com/jobs/view/applications-developer-partnership-strategies-at-bain-capital-4146988603?position=8&pageNum=7&refId=ZlANkYElbW7crc1TCoTjmQ%3D%3D&trackingId=QD%2FwZb41IdoBKr%2F00V8qzA%3D%3D
"Group Product Manager, Pricing",Coupang,"Mountain View, CA",LinkedIn,https://www.linkedin.com/jobs/view/group-product-manager-pricing-at-coupang-4182661305?position=9&pageNum=7&refId=ZlANkYElbW7crc1TCoTjmQ%3D%3D&trackingId=02RWV8CILw4ljXM%2B2OKe5g%3D%3D
Software Development for Data Curation for Vulnerability Detection: 6 Months Internship in Research & Development,Siemens,"Princeton, NJ",LinkedIn,https://www.linkedin.com/jobs/view/software-development-for-data-curation-for-vulnerability-detection-6-months-internship-in-research-development-at-siemens-4190805252?position=10&pageNum=7&refId=ZlANkYElbW7crc1TCoTjmQ%3D%3D&trackingId=7JXeEqB1AIUr2ADXT%2F8hPQ%3D%3D
